Praxis_A,ID_A,Praxis_B,ID_B,Distanz,Ist_Dublette,Sicherheit,Signal,Begruendung
2,W-1128,3,,0.027161478996276855,True,0.98,name,"Die Namen 'Xaver Weber' und 'X. Weber' sind phonetisch sehr ähnlich, was einen Tippfehler vermuten lässt. Die Adresse (Straße und PLZ) ist identisch, was ein hohes Maß an Wahrscheinlichkeit für die Identität beider Personen suggeriert. Obwohl die Telefonnummer und E-Mail-Adresse identisch sind, werden diese Kontaktdaten als weniger relevant gewichtet im Vergleich zur Stammdaten (Name/Adresse). Die geringe Abweichung in der Namensschreibweise wird durch die vollständige Übereinstimmung der Adresse kompensiert, was zu einer sehr hohen Wahrscheinlichkeit für die Identität führt."
1,145,2,W-1203,0.029794931411743164,True,95.0,address,"Die Namen 'Florian Hofmann' und 'F. Hofmann' weisen phonetische Ähnlichkeiten auf, was einen Tippfehler vermuten lässt. Die Adresse (Mozartstr. 11, 35501 Oberstadt) ist identisch, und die Kontaktdaten (+49645043333, hofmann.f@gmx.de) sind ebenfalls übereinstimmend. Da keine logischen Widersprüche vorliegen, kann dieser Datensatz als Duplikat angesehen werden mit einer hoher Konfidenzstufe von 95%. Die geringe Abweichung im Namen wird durch die vollständige Übereinstimmung der anderen Informationen ausgeglichen."
1,171,3,,0.03172582387924194,True,1.0,name,"Die beiden Datensätze weisen in Bezug auf den Namen, die Straße und die Postleitzahl vollständig überein. Die Telefonnummer und der E-Mail-Adresse sind ebenfalls identisch. Da keine logischen Widersprüche vorliegen (z.B. unterschiedliche PLZ oder Straßen), können wir mit hoher Sicherheit davon ausgehen, dass es sich um dieselbe Person handelt."
2,W-1213,3,,0.0330844521522522,True,1.0,name,"Die beiden Datensätze weisen identische Namen (Ines Wolf), identische Straße (Bahnhofstr. 70) und die gleiche Postleitzahl (35580 Wetzlar-Buederbach) auf. Die Telefonnummer ist ebenfalls identisch, was den Namensabgleich bestätigt. Die zusätzliche E-Mail-Adresse in Datensatz B stärkt das Vertrauen in die Identität der Person, da sie weitere Kontaktdaten bereitstellt, ohne dass dies einen Widerspruch darstellen würde. Es gibt keine logischen Widersprüche oder fehlenden Informationen, die den Vergleich beeinträchtigen würden."
1,1,3,,0.034353554248809814,True,0.98,address,"Die Namen Thomas Berger und Th. Berger sind phonetisch sehr ähnlich, was einen Tippfehler vermuten lässt. Die Adresse (Straße und PLZ) ist identisch, was ein hohes Maß an Wahrscheinlichkeit für die Identität der Personen suggeriert. Obwohl die Telefonnummer und E-Mail-Adresse identisch sind, werden diese Kontaktdaten als weniger relevant gewichtet im Vergleich zur Übereinstimmung der Stammdaten (Name/Adresse). Die geringe Abweichung in der Schreibweise des Namens wird durch die vollständige Übereinstimmung der anderen Informationen ausgeglichen."
2,W-1001,3,,0.034353554248809814,True,95.0,phone,"Die Namen Thomas Berger und Th. Berger sind phonetisch sehr ähnlich, was einen Tippfehler vermuten lässt. Die Adresse (Straße und PLZ) ist identisch, was ein hohes Maß an Wahrscheinlichkeit für die Identität der Personen suggeriert. Die übereinstimmenden Kontaktdaten (Telefonnummer und E-Mail-Adresse) unterstützen diese Annahme. Da keine logischen Widersprüche vorliegen, kann mit hoher Wahrscheinlichkeit davon ausgegangen werden, dass es sich um dieselbe Person handelt."
1,52,3,,0.03686732053756714,True,0.95,address,"Die Namen 'Erik Schneider' und 'E. Schneider' weisen phonetische Ähnlichkeiten auf, was einen Tippfehler vermuten lässt. Die Adresse (Straße und PLZ) ist identisch, was ein hohes Maß an Wahrscheinlichkeit für die Identität beider Personen suggeriert. Die übereinstimmenden Kontaktdaten unterstützen diese Annahme."
2,W-1036,3,,0.038769304752349854,True,0.98,name,"Beide Datensätze weisen identische Namen, Straße und Postleitzahl auf. Die Telefonnummer und die E-Mail-Adresse sind ebenfalls gleich. Da keine logischen Widersprüche vorliegen (z.B. unterschiedliche PLZ oder Straßen), können wir mit hoher Wahrscheinlichkeit schließen, dass es sich um dieselbe Person handelt."
4,60,4,136,0.0401453971862793,False,60.0,address,"Die Namen sind identisch, aber die Straßennamen weichen auseinander (Schillerstrasse vs. Schillerstr.). Die PLZ stimmt überein, was ein positives Indiz ist. Allerdings unterscheiden sich die Telefonnummern und E-Mail-Adressen, was einen hohen Wahrheitsgehalt der Trennung voraussetzt. Da die Adresse als primäres Merkmal gewichtet wird, kann man davon ausgehen, dass es sich um zwei verschiedene Personen handelt."
1,3,3,,0.04026997089385986,True,85.0,address,"Die Namen 'Klaus Weber' und 'Weber Klaus' sind phonetisch sehr ähnlich, was einen Tippfehler vermuten lässt. Die Adresse (PLZ/Straße) ist identisch, was als primäres Merkmal eine hohe Wahrscheinlichkeit für die Identität beider Personen suggeriert. Obwohl die Telefonnummern und E-Mail-Adresse unterschiedlich sind, können diese Unterschiede durch mehrere Kontaktaustausche oder verschiedene Kontaktarten erklärt werden. Die identische Adresse erhöht die Wahrscheinlichkeit, dass es sich um dieselbe Person handelt, was den Gesamtkonfidenzscore zu 85% führt."
4,117,4,144,0.04287517070770264,False,70.0,address,"Die Namen sind identisch, aber die Straßenummer weicht um 5. Die Postleitzahl und der Ort stimmen überein. Da sich die Adresse nur geringfügig unterscheidet, könnte es sich bei den beiden Datensätzen um dieselbe Person handeln, jedoch gibt es genug Unterschiede, um sicher zu sein, dass es sich nicht um eine doppelte Eintragung handelt."
1,12,3,,0.044713616371154785,False,0.6,address,"Obwohl die Namen identisch sind, weichen die Wohnadressen auseinander (35501 Oberstadt vs. 35580 Wetzlar-Buederbach). Dies ist ein klarer Ausschlusskriterium für eine Identität der Personen, da es sich um verschiedene Orte handelt, obwohl die Straßennamen ähnlich klingen könnten."
2,W-1014,3,,0.047827959060668945,True,85.0,phone,"Die Namen Paul Roth und Paul Rtoh sind phonetisch sehr ähnlich. Die Adresse (Straße und PLZ) ist identisch, was stark spricht für die Identität der Personen. Obwohl es sich um Tippfehler handelt, gibt es keine logischen Widersprüche oder fehlende Informationen, die den Vergleich beeinträchtigen würden. Die Kontaktdaten sind ebenfalls identisch, was weiterhin eine hohe Wahrscheinlichkeit für die Identität beider Datensätze unterstützt."
4,94,4,105,0.04883921146392822,True,0.85,address,"Die Namen 'Emma' sind identisch, die Postleitzahl und der Ort '35510 Waldrand' übereinstimmen. Obwohl die Straße leicht abweicht ('schlossstr.' vs. 'Am Markt'), könnte dies auf Tippfehler oder geringfügige Unterschiede in der Schreibweise zurückzuführen sein. Die Telefonnummern und E-Mail-Adressen sind unterschiedlich, was nicht ausschließt, da es sich um verschiedene Kontakte derselben Person handeln könnte. Da die Stammdaten (Name/Adresse) stark übereinstimmen, wird eine hohe Wahrscheinlichkeit für Duplikate angenommen, wobei ein geringer Grad von Unsicherheit berücksichtigt wird durch die unterschiedlichen Kontaktdaten."
1,72,2,W-1201,0.04936462640762329,True,85.0,phone,"Die Namen Anna Becker und Anna Beckre sind phonetisch sehr ähnlich, was einen Tippfehler vermuten lässt. Die Adresse (Straße und PLZ) ist identisch, was eine hohe Wahrscheinlichkeit für die Identität der Personen suggeriert. Die übereinstimmenden Kontaktdaten (Telefonnummer und E-Mail-Adresse) unterstützen diese Vermutung. Da es sich um leichte Abweichungen handelt, kann mit einer Konfidenz von 85% davon ausgegangen werden, dass es sich um dieselbe Person handelt."
